collection_site,activity,time
1,Parking,12
1,Opening trunk,12
1,Collecting & Loading of small trash,58
1,Slit-Container: Emptying,124
1,Slit-Container: Sack Replacement,24
1,Recycling,24
1,Cleaning ground,0
1,Cleaing oil station,0
1,Mobbing ground with broom,0
1,Closing  trunk,4
2,Parking,5
2,Opening trunk,14
2,Collecting & Loading of small trash,65
2,Slit-Container: Emptying,68
2,Slit-Container: Sack Replacement,70
2,Recycling,0
2,Cleaning ground,0
2,Cleaing oil station,0
2,Mobbing ground with broom,0
2,Closing  trunk,3
3,Parking,10
3,Opening trunk,13
3,Collecting & Loading of small trash,588
3,Slit-Container: Emptying,83
3,Slit-Container: Sack Replacement,30
3,Recycling,0
3,Cleaning ground,55
3,Cleaing oil station,0
3,Mobbing ground with broom,119
3,Closing  trunk,5
4,Parking,21
4,Opening trunk,10
4,Collecting & Loading of small trash,101
4,Slit-Container: Emptying,63
4,Slit-Container: Sack Replacement,33
4,Recycling,0
4,Cleaning ground,0
4,Cleaing oil station,0
4,Mobbing ground with broom,0
4,Closing  trunk,4
5,Parking,10
5,Opening trunk,11
5,Collecting & Loading of small trash,56
5,Slit-Container: Emptying,30
5,Slit-Container: Sack Replacement,17
5,Recycling,0
5,Cleaning ground,0
5,Cleaing oil station,0
5,Mobbing ground with broom,0
5,Closing  trunk,8
6,Parking,36
6,Opening trunk,9
6,Collecting & Loading of small trash,241
6,Slit-Container: Emptying,77
6,Slit-Container: Sack Replacement,53
6,Recycling,43
6,Cleaning ground,34
6,Cleaing oil station,0
6,Mobbing ground with broom,19
6,Closing  trunk,7
7,Parking,46
7,Opening trunk,17
7,Collecting & Loading of small trash,0
7,Slit-Container: Emptying,75
7,Slit-Container: Sack Replacement,20
7,Recycling,0
7,Cleaning ground,0
7,Cleaing oil station,0
7,Mobbing ground with broom,0
7,Closing  trunk,5
8,Parking,20
8,Opening trunk,15
8,Collecting & Loading of small trash,0
8,Slit-Container: Emptying,42
8,Slit-Container: Sack Replacement,15
8,Recycling,0
8,Cleaning ground,0
8,Cleaing oil station,0
8,Mobbing ground with broom,0
8,Closing  trunk,6
9,Parking,12
9,Opening trunk,14
9,Collecting & Loading of small trash,0
9,Slit-Container: Emptying,56
9,Slit-Container: Sack Replacement,32
9,Recycling,0
9,Cleaning ground,0
9,Cleaing oil station,0
9,Mobbing ground with broom,0
9,Closing  trunk,5
10,Parking,36
10,Opening trunk,10
10,Collecting & Loading of small trash,98
10,Slit-Container: Emptying,46
10,Slit-Container: Sack Replacement,21
10,Recycling,0
10,Cleaning ground,0
10,Cleaing oil station,0
10,Mobbing ground with broom,46
10,Closing  trunk,4
11,Parking,17
11,Opening trunk,13
11,Collecting & Loading of small trash,603
11,Slit-Container: Emptying,81
11,Slit-Container: Sack Replacement,33
11,Recycling,0
11,Cleaning ground,0
11,Cleaing oil station,0
11,Mobbing ground with broom,80
11,Closing  trunk,7
12,Parking,14
12,Opening trunk,16
12,Collecting & Loading of small trash,0
12,Slit-Container: Emptying,63
12,Slit-Container: Sack Replacement,22
12,Recycling,0
12,Cleaning ground,41
12,Cleaing oil station,0
12,Mobbing ground with broom,0
12,Closing  trunk,3
13,Parking,20
13,Opening trunk,9
13,Collecting & Loading of small trash,40
13,Slit-Container: Emptying,27
13,Slit-Container: Sack Replacement,17
13,Recycling,0
13,Cleaning ground,0
13,Cleaing oil station,0
13,Mobbing ground with broom,0
13,Closing  trunk,4
14,Parking,28
14,Opening trunk,17
14,Collecting & Loading of small trash,0
14,Slit-Container: Emptying,47
14,Slit-Container: Sack Replacement,15
14,Recycling,0
14,Cleaning ground,0
14,Cleaing oil station,0
14,Mobbing ground with broom,0
14,Closing  trunk,4
15,Parking,35
15,Opening trunk,13
