weekday,week,measurement,weight
Mo,1,measured_weight_1_kg,490
Mo,1,measured_weight_2_kg,520
Mo,1,measured_weight_3_kg,400
Tu,1,measured_weight_1_kg,310
Tu,1,measured_weight_2_kg,NA
Tu,1,measured_weight_3_kg,NA
We,1,measured_weight_1_kg,340
We,1,measured_weight_2_kg,NA
We,1,measured_weight_3_kg,NA
Th,1,measured_weight_1_kg,280
Th,1,measured_weight_2_kg,NA
Th,1,measured_weight_3_kg,NA
Fr,1,measured_weight_1_kg,320
Fr,1,measured_weight_2_kg,NA
Fr,1,measured_weight_3_kg,NA
Mo,2,measured_weight_1_kg,460
Mo,2,measured_weight_2_kg,500
Mo,2,measured_weight_3_kg,300
Tu,2,measured_weight_1_kg,290
Tu,2,measured_weight_2_kg,NA
Tu,2,measured_weight_3_kg,NA
We,2,measured_weight_1_kg,110
We,2,measured_weight_2_kg,160
We,2,measured_weight_3_kg,110
Th,2,measured_weight_1_kg,350
Th,2,measured_weight_2_kg,NA
Th,2,measured_weight_3_kg,NA
Fr,2,measured_weight_1_kg,360
Fr,2,measured_weight_2_kg,NA
Fr,2,measured_weight_3_kg,NA
